iter	Passed	Remaining
942	14630	884
943	14643	868
944	14657	853
945	14670	837
946	14686	821
947	14700	806
948	14714	790
949	14727	775
950	14741	759
951	14757	744
952	14768	728
953	14785	712
954	14799	697
955	14814	681
956	14827	666
957	14842	650
958	14856	635
959	14869	619
960	14884	604
961	14899	588
962	14916	573
963	14933	557
964	14952	542
965	14972	526
966	14991	511
967	15009	496
968	15030	480
969	15046	465
970	15068	450
971	15089	434
972	15102	419
973	15115	403
974	15130	387
975	15143	372
976	15158	356
977	15171	341
978	15187	325
979	15200	310
980	15216	294
981	15229	279
982	15242	263
983	15257	248
984	15269	232
985	15285	217
986	15298	201
987	15315	186
988	15328	170
989	15343	154
990	15356	139
991	15370	123
992	15384	108
993	15398	92
994	15412	77
995	15424	61
996	15440	46
997	15453	30
998	15468	15
999	15482	0
